u,x1,x2
0.12515997589223668,-0.021337821513312403 -0.013254388257556564 43.1873565573958,-0.021287810018745395 -0.009875284479587052 43.426465995123934
0.10258105554457381,-0.021287810018745395 -0.009875284479587052 43.426465995123934,-0.021808002443460355 -0.012800999731203482 43.34252474033882
0.11311629129407319,-0.021808002443460355 -0.012800999731203482 43.34252474033882,-0.02222553240263181 -0.01482742293448586 43.52608875458267
0.09998064221940045,-0.02222553240263181 -0.01482742293448586 43.52608875458267,-0.021720306374753598 -0.002440684890489743 43.17393096667314
0.09228969177790503,-0.021720306374753598 -0.002440684890489743 43.17393096667314,-0.02180145674291483 -0.003631794362453685 42.73941931141642
0.12408292111872823,-0.02180145674291483 -0.003631794362453685 42.73941931141642,-0.022216204076360404 -0.012659984373775208 42.95452522207554
0.11678313115985664,-0.022216204076360404 -0.012659984373775208 42.95452522207554,-0.021701369510649618 -0.003282192618207891 42.9708876400746
0.0927729815824091,-0.021701369510649618 -0.003282192618207891 42.9708876400746,-0.022280772448860144 -0.010058814392645107 42.763254046663164
0.12059657627856979,-0.022280772448860144 -0.010058814392645107 42.763254046663164,-0.022174972465053067 -0.008728391959334413 42.92951163158969
0.0966698479128208,-0.022174972465053067 -0.008728391959334413 42.92951163158969,-0.021750678600542746 -0.00040375125861287844 42.64474256779388
0.102327794506266,-0.021750678600542746 -0.00040375125861287844 42.64474256779388,-0.022251493024552656 -0.009724333046139857 42.38136916678672
0.12418985767536728,-0.022251493024552656 -0.009724333046139857 42.38136916678672,-0.022174218502179762 -0.009060817979694227 42.69475890386753
0.09459414838300967,-0.022174218502179762 -0.009060817979694227 42.69475890386753,-0.021754593798269016 -0.0004206710114269506 42.41153475061537
0.0995931696198406,-0.021754593798269016 -0.0004206710114269506 42.41153475061537,-0.022259656116259713 -0.009609465860897337 42.16060654827392
0.12216727441596342,-0.022259656116259713 -0.009609465860897337 42.16060654827392,-0.022171132095573733 -0.008835395539115665 42.383847507961775
0.09294292531984372,-0.022171132095573733 -0.008835395539115665 42.383847507961775,-0.02175845999701256 -0.0002974237432049019 42.10502757206731
0.09757274087790174,-0.02175845999701256 -0.0002974237432049019 42.10502757206731,-0.0222595077223388 -0.009437777636210329 41.8039551930643
0.11986764539392417,-0.0222595077223388 -0.009437777636210329 41.8039551930643,-0.02217478002555001 -0.008675266855691286 42.01176976190916
0.09038326456418755,-0.02217478002555001 -0.008675266855691286 42.01176976190916,-0.021757740200377056 -6.804250702223749e-05 41.662315485881045
0.09481714729993562,-0.021757740200377056 -6.804250702223749e-05 41.662315485881045,-0.02226530154772062 -0.00925794028487343 41.3587871354014
0.11673457743128793,-0.02226530154772062 -0.00925794028487343 41.3587871354014,-0.02217530217279876 -0.008414130410215114 41.494660976997075
0.08704339784312226,-0.02217530217279876 -0.008414130410215114 41.494660976997075,-0.02176139335936436 0.00018826824911397783 41.10444398194962
0.09112706254253561,-0.02176139335936436 0.00018826824911397783 41.10444398194962,-0.021801483523179132 -0.003096596567424728 40.71927391301217
0.11266068063005447,-0.021801483523179132 -0.003096596567424728 40.71927391301217,-0.021762604127289576 -0.006112507919324757 40.81317360021633
0.10123812203779156,-0.021762604127289576 -0.006112507919324757 40.81317360021633,-0.021303488579490118 -0.00024108639291897313 40.663072818145956
0.09527544514833206,-0.021303488579490118 -0.00024108639291897313 40.663072818145956,-0.02182380496555148 -0.009467954257528494 40.411946023963715
0.11280623567339157,-0.02182380496555148 -0.009467954257528494 40.411946023963715,-0.022215810560819258 -0.01423185801194616 40.628193873109886
0.08332874583046657,-0.022215810560819258 -0.01423185801194616 40.628193873109886,-0.021748847230810817 -0.001622429376376737 40.23920186061023
0.0696850516332298,-0.021748847230810817 -0.001622429376376737 40.23920186061023,-0.021823688866166726 -0.0020658857520028644 39.47851503714256
0.10129575749635339,-0.021823688866166726 -0.0020658857520028644 39.47851503714256,-0.02176976231862794 -0.0049929214120422016 39.32149556515386
0.09312148777513915,-0.02176976231862794 -0.0049929214120422016 39.32149556515386,-0.02130576438782314 0.0005741141128143452 39.00479939376313
0.08544014204087441,-0.02130576438782314 0.0005741141128143452 39.00479939376313,-0.02089668386113278 0.003066657007121892 38.54889681098958
0.10091374756940591,-0.02089668386113278 0.003066657007121892 38.54889681098958,-0.021393255741024755 -0.009356966628312542 38.62508916229691
0.10735448196087274,-0.021393255741024755 -0.009356966628312542 38.62508916229691,-0.020833768766461543 -0.0021149886849917525 38.618224418393645
0.07326821194805422,-0.020833768766461543 -0.0021149886849917525 38.618224418393645,-0.02095472196856135 -0.0028754802286371462 38.1798832333218
0.0963031927279909,-0.02095472196856135 -0.0028754802286371462 38.1798832333218,-0.0213608933440678 -0.010761516216057553 37.968058814991714
